순위,제목,출시날짜,장르1,장르2
525,Mini Metro,2015,전략,시뮬레이션
526,群星之间,2019,인디,
527,World of Final Fantasy,2018,RPG,
528,Age of Empires: Definitive Edition,2019,전략,
529,红色警戒2兵临城下,,전략,
530,Devil May Cry 2,,액션,격투
531,Tiny Troopers,2012,슈팅,
532,夏娃年代记,,인디,
533,18+,2018,퍼즐,기타
534,DEEMO,,리듬,音乐
535,被尘封的故事,2015,RPG,기타
536,Fight Crab,2020,액션,격투
537,剑为君舞,2020,RPG,기타
538,Spellcaster University,2019,전략,시뮬레이션
539,绿洲计划,2022,RPG,
540,回溯依存,,퍼즐,观察
541,彼岸画廊,2019,인디,
542,Eufloria,2014,인디,
543,Outside,2020,인디,
544,Nightmare (Incubo),,인디,
545,第二次超级机器人大战,,인디,
546,Waking,2020,RPG,
547,Ocean's Heart,2021,RPG,
548,Barotrauma,2019,전략,시뮬레이션
549,Idol Manager,2021,전략,시뮬레이션
550,Tricolour Lovestory,2017,전략,시뮬레이션
551,最后一站,2016,인디,
552,王国与城堡,2017,전략,시뮬레이션
553,Neoverse,2020,전략,卡片
554,Evolution Of JiangHu,2021,전략,시뮬레이션
555,地球防卫军5,2019,슈팅,
556,Babylonia,2019,인디,
557,遗忘之城,,액션,어드벤쳐
558,Animus - Stand Alone,2019,RPG,
559,Super Phantom Cat,2019,액션,어드벤쳐
560,Dealer's Life 2,2020,전략,시뮬레이션
561,Wanba Warriors,2020,액션,격투
562,钢铁收割,2020,슈팅,
563,幻想水浒传2,,인디,
564,I Am Alive,2012,액션,어드벤쳐
565,eSports Legend,2018,전략,시뮬레이션
566,Embr,2020,액션,기타
567,The Room Three,2018,퍼즐,解谜
568,Bladed Fury,2018,액션,플랫폼
569,宇宙沙盒,2015,인디,
570,洛克人11,,액션,기타
571,传奇世界之仗剑天涯H5,2020,RPG,
572,荒神2,2021,액션,격투
573,绝望监牢,2020,인디,
574,Layers of Fear 2,2019,인디,
575,克苏鲁异闻录,2019,인디,
